Kullanıcı Adı,Puan (Yıldız),Yorum Metni,Tarih (Metin),Tarih (Yaklaşık),Beğeni,İşletme Yanıtı,Kullanıcı Yorum Sayısı,Yorum ID
Rhea Sinno,5.0,Very nice hotel . The entertainment team made the nights so much more fun and alive . The entertainment team really look like they enjoy their job and include everyone. Very kid friendly . I would recommend!!!,3 weeks ago,2026-07-14,,"Dear Guest,

Thank you very much for your wonderful review and recommendation.

We are delighted to hear that you had such an enjoyable stay with us. It is especially rewarding to know that our entertainment team made your evenings so much fun and created a lively atmosphere while making every guest feel included. We are also pleased that you found our hotel to be family-friendly.

We look forward to welcoming you back to Megasaray Hotels for another unforgettable holiday.

Kind regards,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",4 reviews,Ci9DQUlRQUNvZENodHljRjlvT205Vk9XMURVRTVJU1daNVNIbDFURlp6VFhkSmVsRRAB
Khayrul Ambia,5.0,"The hotel was fantastic in every way. Its central location was superb. The animation team was very friendly, and the activities were wonderful. Step aerobics, darts, and morning gym were very enjoyable. We loved the evening dance shows and live music.",3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for your kind review.

We are delighted that you enjoyed our central location, the energy of our animation team, and the activities organized throughout the day. We are very happy that our step aerobics, darts, morning gym activities, evening dance shows, and live music performances added color to your holiday.

We look forward to welcoming you back to Megasaray Hotels.

Sincerely,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",6 reviews,Ci9DQUlRQUNvZENodHljRjlvT21oTVduazRPVkJPYldKU1RVRnhVWEpsZDBWZmRXYxAB
Reina Sinno,5.0,"The people here are great, very peaceful hotel and the entertainment is amazing great music and show selection",3 weeks ago,2026-07-14,,"Dear Guest,

Thank you very much for your wonderful review.

We are delighted to hear that you enjoyed the peaceful atmosphere of our hotel, the friendliness of our team, and our entertainment program. It is especially rewarding to know that the music and evening shows made your stay even more enjoyable.

We truly appreciate your kind words and look forward to welcoming you back to Megasaray Hotels for another memorable holiday.

Kind regards,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",10 reviews · 1 photo,Ci9DQUlRQUNvZENodHljRjlvT21wT1ozTXdZV3RaYzNOQ1ZVdzRZVXBzTWt3eVdVRRAB
Onur Yalcin,5.0,"The animation team had amazing energy, we loved the sports activities: step aerobics, darts, aqua gym, and morning gym were superb. The evening dance shows and live music were fantastic. We really appreciated the sports animators' language skills and their warm approach to the guests.",3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for your kind review.

We are delighted that you enjoyed the energy of our animation team, our sports activities, evening shows, and live music performances. Your appreciation of our team's warm approach and professional service is a great source of motivation for us.

We look forward to welcoming you back to Megasaray Hotels.

Sincerely,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",1 review,Ci9DQUlRQUNvZENodHljRjlvT2xwZlVEVnZRV3BmV2pBeE4wdDBhVUZrUzFBeVZuYxAB
Эмма Семенова,5.0,"Our stay at Megasaray WestBeach Antalya in July 2026 exceeded all expectations! The beautifully maintained grounds and clear, warm sea created the perfect atmosphere for relaxation. Special thanks to the entertainment team for the exciting daytime activities and unforgettable evening shows. Bartender Ali is a true professional and the life of the party; his cocktails and signature smile lifted our spirits every day. The hotel staff is incredibly welcoming, and the location right on the Konyaaltı promenade allows you to enjoy the sea views at any time. We will definitely be back!",3 weeks ago,2026-07-14,,"Dear guest,

Thank you so much for your wonderful review.

We are delighted to learn that your stay exceeded all expectations. We are delighted that you appreciated the well-maintained grounds, the warm sea, the convenient location of the hotel, and the high level of service. We are especially pleased that our entertainment team provided you with such a memorable experience, and the bar staff made your stay even more enjoyable.

Your kind words are a great inspiration to our entire team. We look forward to welcoming you again at Megasaray Hotels!

Sincerely,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",5 reviews · 26 photos,Ci9DQUlRQUNvZENodHljRjlvT2xSb2J6SXhOa2xPUTNsb2FWODRhR2c1U1dwblpYYxAB
Esenss,5.0,"A perfect July vacation! A hotel I'd recommend to everyone!

We stayed at the Megasaray WestBeach Antalya from July 5th to 13th, and it was one of our best vacations! The hotel left an exceptionally positive impression.

Hotel and Service
The hotel itself is simply wonderful – cozy, clean, and perfectly located right by the sea. We were greeted by incredibly polite and helpful staff, ready to help with any situation. We were especially pleased that the rooms were thoughtfully designed for comfort, with comfortable orthopedic mattresses and pillows.

Beach and Sea
The beach is the hotel's crowning glory. It's literally just a few steps away, across the road. The sea in July was simply magical – warm, gentle, and perfectly clean. We enjoyed every day spent on the shore, and comfortable sun loungers were always available on the beach.

Restaurants and Food
The food at the hotel is beyond praise! It's a true culinary feast. The main restaurant offers dishes from around the world: from Mexican and Italian cuisine to Turkish delicacies and secrets of the Far East. Every day, there was a huge variety of meat, fish, and seafood. In addition to the main restaurant, there were numerous additional food, coffee, and dessert stations, as well as snack bars on the beach and a food court, so it was impossible to leave hungry.

Drinks
When it comes to drinks, everything was perfect. The lobby bar has a wide selection of imported spirits, and the bartenders are true professionals, making excellent cocktails. You could always refresh yourself with a delicious drink by the pool or on the beach.

Animation
The hotel's entertainment deserves a special mention. The entertainment staff are fantastic, energizing you and keeping you in a good mood all day long. The program is very busy: morning and water gymnastics, darts, aqua jumping, and fun games in the pool. In the evening, there are great live performances and professional shows that keep you entertained.

We're already missing this paradise and will definitely be back! I definitely recommend it to anyone looking for the perfect Antalya vacation!",3 weeks ago,2026-07-14,,"Dear guest,

Thank you so much for your warm, detailed, and inspiring review.

We are truly delighted to learn that your stay left such a wonderful impression. We are especially pleased that you highly praised the hotel's location, the comfort of the rooms, the cleanliness, the food, the variety of restaurants and drinks, and the atmosphere created by our team. We are also delighted that the entertainment program made your vacation even more vibrant and gave you so many positive emotions.

Your kind words are the best reward for our entire team and a great motivation to continue creating unforgettable experiences for our guests.

We look forward to welcoming you again at Megasaray Hotels!

Sincerely,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",2 reviews · 7 photos,Ci9DQUlRQUNvZENodHljRjlvT2pOc1JIUlJSMHMwU2xCNlpuQkxibFJOZWpsNVRIYxAB
Sameh Baklouti,5.0,"A truly excellent hotel! Everything was perfect from beginning to end. The staff is very welcoming, friendly, and always available. The restaurant offers delicious and varied dishes of excellent quality. There are plenty of fun and engaging activities suitable for all ages, making the stay even more enjoyable. The room was spacious, very clean, comfortable, and well-equipped. The entire hotel is beautiful and impeccably maintained. We had an extraordinary stay and leave with wonderful memories. A huge thank you to the whole team for their professionalism and kindness. We will definitely be back! 😍🌟",3 weeks ago,2026-07-14,,"Dear Guest,

Thank you very much for your wonderful and detailed review.

We are delighted to know that every aspect of your stay met your expectations. It is a pleasure to hear that you enjoyed our welcoming team, the variety and quality of our cuisine, the entertainment program, as well as the comfort and cleanliness of your room. Your kind words about our hotel and our dedicated staff mean a great deal to us.

Thank you for choosing Megasaray Hotels. We look forward to welcoming you back for another unforgettable holiday.

Kind regards,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",Local Guide · 1 review · 2 photos,Ci9DQUlRQUNvZENodHljRjlvT2s1WUxXRkRjRWRxVlZReFdXWkVhVkJPZW14UWRuYxAB
Õzlem Alp,5.0,"We really liked the hotel, everything was great, the food was excellent, and I'd also like to thank the animation team; their energy was fantastic, with sports activities from morning till evening – morning gymnastics, water gymnastics, darts. The evening shows were amazing, dance performances, karaoke, live music, the team speaks every language, and they are friendly, welcoming, and hospitable. I congratulate them. Their customer-focused approach is wonderful.",3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for your valuable feedback and high rating. We are very pleased that you were satisfied with our hotel, our cuisine, and the activities we offer.

We would be delighted to welcome you and your family again.

Sincerely,
Ayla Akbarova
Customer Relations Management
Megasaray Hotels",2 reviews,Ci9DQUlRQUNvZENodHljRjlvT2tObWVFRnROM1JvUW1FeVpubFJUemh1VUU4MVdsRRAB
Ali Yayla,5.0,"I would like to express my sincere thanks to Ms. Anahita, who helped me with the reservation process. She was very helpful and answered all my questions honestly.",3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for your kind review.

We were delighted that our team assisted you throughout the booking process and sincerely answered all your questions to ensure your satisfaction. Your kind feedback is a great source of motivation for our team.

We look forward to welcoming you to Megasaray Hotels soon.

Sincerely,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",Local Guide · 16 reviews · 8 photos,Ci9DQUlRQUNvZENodHljRjlvT2t0NVJ6ZFlaMHhvWDFsTU9VSnNlbnA0YkdaUGVFRRAB
Aysel Selcan,3.0,,3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for your valuable comments and feedback. Your decision to choose our hotel again is very important to us. Your comments regarding our beach area and service experience will be forwarded to the relevant teams, and necessary assessments will be made to ensure our guests have a comfortable holiday.

We would be delighted to welcome you and your family again.

Sincerely,
Ayla Akbarova
Customer Relations Management
Megasaray Hotels",Local Guide · 12 reviews · 18 photos,Ci9DQUlRQUNvZENodHljRjlvT2twRmQwVTFTbEpKZW5Wd1VUUmZPV0pwTTJ0NGFWRRAB
Noe Sager,4.0,"Great vacation!

The show team puts in a lot of effort during their performances, and they also approach guests about daytime activities. Their English is decent, and they also speak Russian well.

The food is really good, and there's a wide selection during the day. At night, you can get drinks at the bar 24/7.

However, the hotel is more of a family hotel, unless you're a teenager looking for a more relaxed, party-oriented experience.",3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for your review and valuable feedback. We are delighted that you enjoyed our shows, daily activities, the variety of our food, and our service. We greatly appreciate your feedback regarding our family-friendly atmosphere.

We would be pleased to welcome you and your family back to Megasaray Hotels.

Sincerely,

Ayla Akbarova
Customer Relations Management
Megasaray Hotels",1 review,Ci9DQUlRQUNvZENodHljRjlvT2xFemFFWmhhMFI1UWpkTWJUZEhUblpIUjBwQ2JtYxAB
Дамир Арифуллин,5.0,"The hotel was in a great location, with a promenade you can stroll along. The food is delicious and varied everywhere, the bar is excellent, and the staff is polite and friendly. I'd especially like to mention the animation team – they give it their all, 10 out of 10. From morning until night, there are various sports activities, both on and off the water. I participated in the flexi bar, which was great for core strength training. And in the evenings, there's a varied show program, live music, and karaoke. Respect and good luck to the guys!",3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for your high rating and pleasant review. We are glad you enjoyed the hotel's location, food variety, service quality, and entertainment programs. We are especially pleased that you praised our animation team and the wide range of daytime and evening activities.

We look forward to welcoming you back to Megasaray Hotels.

Sincerely,
Ayla Akbarova
Customer Relations Management
Megasaray Hotels",2 reviews · 1 photo,Ci9DQUlRQUNvZENodHljRjlvT2tOTGIzWnFaVGMwT0V4TE16ZEZkMmRvZDFwemJHYxAB
Agnieszka,5.0,"It’s not our first time here and we really like this hotel, good place , great views , especially liked entertainment team they are energetic and have many sports activities whole a day like morning gym, water gym , step aerobics, and after in the evening different programs like dance shows, live musics , karaoke , thanks for everybody in this team , they are doing well!!!",3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for your kind review and for choosing our hotel once again. We are delighted to know that you enjoyed our location, beautiful views, and the variety of activities and entertainment programs offered by our team. Your appreciation of our entertainment team is greatly valued and encourages us to continue creating memorable experiences for our guests.

We would be delighted to welcome you and your family back to Megasaray Hotels.

Best regards,

Ayla Akbarova
Customer Relations Management
Megasaray Hotels",1 review,Ci9DQUlRQUNvZENodHljRjlvT2tWaE0yNDBjR05VVjA1UVRWZHpTM0owU0hkdlVHYxAB
Evgenii Solovev,5.0,"We stayed at the Megasaray West Beach Hotel and absolutely loved it! Special thanks to our entertainer, Emmanuel—he's a true professional and the life of the party!

From morning until evening, Emmanuel filled everyone with positivity: he led aqua aerobics, organized fun games, and sports competitions—with him, even a simple workout turned into a celebration. It's clear he genuinely loves his job and strives to engage all guests—both children and adults—in activities.

We especially enjoyed the evening programs hosted by Emmanuel: the shows were vibrant, dynamic, and very atmospheric. He easily connected with the guests, cracked jokes, and encouraged everyone who dared to take the stage—thanks to him, everyone felt like part of one big group.

Emmanuel is very attentive and responsive: he's always asking how everyone's feeling, telling you what's coming up next, and helping you navigate the schedule. He also speaks fluent Russian, which is very convenient and creates an extra level of comfort. Thanks to Emmanuel, our vacation was incredibly vibrant and memorable. If we return to this hotel, we'll be specifically looking for his activities! I definitely recommend checking out his programs—they make your vacation truly fun! 😊",3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for your high rating and such a detailed review. We are glad that your stay was a memorable one, and you were pleased with the entertainment programs and atmosphere created by our team.

We look forward to welcoming you back to Megasaray Hotels.

Sincerely,
Ayla Akbarova
Customer Relations Management
Megasaray Hotels",1 review,Ci9DQUlRQUNvZENodHljRjlvT2tkcmJHSkJXVk5uWDI1QlEzTmxWVlZFUVVwbVVsRRAB
wijdan abdaljawad,3.0,"The food wasn't tasty and the service in the kitchen wasn't pleasant.

There was also discrimination in how Arabs and foreigners were treated. Everything else was good.",3 weeks ago,2026-07-14,,"Dear Guest,
We have read your feedback carefully and are pleased that the other aspects of your stay met your expectations.
While culinary preferences may vary, friendly and professional service remains an essential part of our standards. Your comments regarding the food and the service provided by our Food & Beverage team have been shared with the relevant management for review.
Regarding your impression of unequal treatment, we would like to clearly emphasize that Megasaray Hotels welcomes and serves all guests according to the same standards, regardless of nationality or language. Any form of discrimination is entirely contrary to our principles and service culture.
We hope to welcome you again and provide an experience that better reflects the service standards of Megasaray Hotels.
Kind regards,
Merve Gülseven
Customer Relations Management
Megasaray Hotels",1 review,Ci9DQUlRQUNvZENodHljRjlvT2s1aVgwRjNRWGxmZDB0Q01Ga3lUMVowZEVObVRrRRAB
Sabrina Zaheby,5.0,,3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for your valuable feedback.

We are delighted to hear that you enjoyed your stay with us. Your kind words are greatly appreciated and motivate us to continue providing the highest level of service.

We look forward to welcoming you back to Megasaray Hotels.

Kind Regards,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",,Ci9DQUlRQUNvZENodHljRjlvT25ORGJVUm1VM2xHV0dZeWRHOVZVMlkyVms5dVVIYxAB
Malebtmn,3.0,,3 weeks ago,2026-07-14,,"Dear Guest,

After reviewing our records, we were unable to find any reservation associated with the username Malebtmn.

To clarify the matter and assist you more effectively, we kindly ask you to contact us directly at crm@megasarayhotels.com so that we can review your case in detail.

We will be pleased to assist you.

Kind regards,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",3 reviews · 1 photo,Ci9DQUlRQUNvZENodHljRjlvT25kalpVSjRhMEpNVEdSRWFYQkZSVVZIWm1wRlYyYxAB
yaşar turgut,4.0,,3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for your feedback.

We are very pleased that you enjoyed your stay. We would be delighted to welcome you back to Megasaray Hotels.

Sincerely,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",Local Guide · 423 reviews · 731 photos,Ci9DQUlRQUNvZENodHljRjlvT2xkeVNrRkZhMjQyUWtseU0yNWhVV1pLU0hZeVNFRRAB
Alexander Chernykh,5.0,"The hotel was perfectly located and never boring. There was always something fun to do: animation, aerobics, yoga, etc.
Breakfast was the same, but lunch and dinner were different. By the end of the vacation, the food was getting boring.
The room was a bit tired, but they cleaned it every day and refilled the minibar every day.
The staff was friendly and spoke both Russian and English.
Overall, we were satisfied with our vacation at this hotel; we loved everything.",3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for sharing your impressions.

We are pleased to hear that you enjoyed your stay and appreciated our hotel's convenient location, the variety of entertainment programs, daily room service, and the friendliness of our team. We are also pleased that overall your vacation was a positive experience.

Thank you for your comments. We value every opinion from our guests, as it is through your feedback that we continue to improve the quality of our services.

We look forward to welcoming you back to Megasaray Hotels!

Sincerely,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",2 reviews · 4 photos,Ci9DQUlRQUNvZENodHljRjlvT2xVMlREbDRWWEpoUzNremNGaEpWelpGT0ZSNFUyYxAB
Loyiso Ranuga,5.0,"Ohhh amazing holidays in antalya so nice city I like it and thank u God  the urination of this hotel near the city  is amazing, little everything  arenas me that let me have more time for mid self, I want to say thanks to the entertainment  team they are making good holidays for me with darts games and their hospitality make me feel with good energy, live music, shows, and activities with so good energy  and I can understand  English so clearly,  actually  in Part game the guy talk Russian,  English  and turkey that so good we play from different  countries and understand  all, the minidisco with so good energy and fun give to the adults good energy too no only to the children 😀,  actually I want to tell that the food in the restaurant is amazing too thanks to the chef and I'm  happy that I can eat all day in this hotel their snacks are so test l, security  are so friendly  they are nice I saw how they fixed  a problem  with good talking and caring about everything  in the hotel thank u megasaray west beach thank u  Zeinep and Tarik from bar they are friendly and with good attention...",3 weeks ago,2026-07-14,,"Dear Guest,

Thank you very much for your wonderful and detailed review.

We are delighted to hear that you had such an enjoyable holiday with us and that you appreciated our location, culinary offerings, entertainment program, and the warm hospitality of our team. It is especially rewarding to know that our multilingual entertainment activities, live music, shows, and daily games added so much fun and positive energy to your stay.

Your kind words about our chefs, security team, and colleagues will be shared with them with great pleasure. They will be very happy to know they helped make your holiday even more memorable.

We look forward to welcoming you back to Megasaray Hotels for another unforgettable vacation.

Kind regards,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",4 reviews · 5 photos,Ci9DQUlRQUNvZENodHljRjlvT2tJM05YWXhRMW94TlhSRU1qQnVNbUpmWVVzelZGRRAB
Ali Yalçınkaya,5.0,I'm writing this review based on my phone conversation with Mr. Barış. I'd like to thank him very much; he's truly a very helpful and attentive person.,3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for your valuable comment and kind feedback. We are pleased that you were satisfied with the attention and support provided during the communication process.

We would be delighted to welcome you and your family again.

Sincerely,
Ayla Akbarova
Customer Relations Management
Megasaray Hotels",13 reviews,Ci9DQUlRQUNvZENodHljRjlvT2pCNlN6QlFTVmxITVhoRGNFdFRjRWhvTUU5S1UyYxAB
Madina Batpenova,5.0,"A fantastic hotel with a relaxing atmosphere, delicious food, and great entertainment! I'd especially like to mention the animation team; they're always smiling and speak multiple languages ​​at a high level. There are various sports activities from morning until evening, and in the evenings, there's live music, dance shows, and karaoke. It was a blast, and I really appreciate them. I loved everything!",3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for your high rating and warm review. We are glad you enjoyed our hotel's atmosphere, food, and entertainment program. We are especially pleased to know that our entertainment team provided you with a memorable experience and made your stay even more enjoyable.

We look forward to seeing you again at Megasaray Hotels.

Sincerely,
Ayla Akbarova
Customer Relations Management
Megasaray Hotels",3 reviews,Ci9DQUlRQUNvZENodHljRjlvT2tOMFVtRlFWRjlWYm05RGJYSXpWMTlwV0hkRFVGRRAB
Мирослава Мигович,5.0,"Rest in this hotel left an extremely pleasant impression! There is really everything for a comfortable and interesting pastime for both adults and children👶🏽
I would especially like to note the wonderful animation - the team of animators creates a good mood from morning to evening. During the day, various entertainments, aqua aerobics, sports activities and competitions are held, and in the evenings you can enjoy live music and atmospheric shows🪩🕺💃🏻
For families with children, excellent conditions are also created: there is a children's zone where the little ones can have fun and spend time safely🥳
A special thank you to the hotel staff. The employees are very friendly, attentive, always ready to help and make the rest as comfortable as possible. It is nice that many people speak Russian well, so communication does not cause difficulties🙃
The only small wish for the future - it would be great if there were more employees among the staff who understand or speak Ukrainian well. There are more and more Ukrainian tourists, so such attention to guests would make the service even more comfortable and pleasant😉

In general, the hotel left only positive emotions. There is a wonderful atmosphere, a high level of service and many opportunities for a good rest. We would be happy to come back here again!",3 weeks ago,2026-07-14,,"Dear Guest,
Thank you very much for your wonderful review and the highest rating.
We are extremely pleased to know that you had a wonderful vacation and were satisfied with our animation program, conditions for families with children and the friendliness of our team. It is a great honor for us that it was thanks to the atmosphere and service that your vacation became so pleasant.
We also thank you for your wish to expand the possibilities of service in Ukrainian. We appreciate your opinion and will definitely take it into account in our future plans to improve our service for guests.
We will be sincerely glad to welcome you again to Megasaray Hotels and give you even more unforgettable impressions.
Best wishes,
Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",3 reviews,Ci9DQUlRQUNvZENodHljRjlvT25SelZVaGxlWGRsYmpOaFFqbHNPV05MVjNCNFUzYxAB
Денис,5.0,"We flew to Turkey for our first vacation in several years, and we chose the right hotel. The food was plentiful and VERY delicious! The staff was wonderful! They understand your needs and help you with any issues. There are plenty of activities inside the hotel (aqua aerobics, yoga, various fitness classes). The sea is just a two-minute walk away. The evening programs are interesting and vibrant! We didn't have children, but parents with them will also have a wonderful and relaxing stay.",3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for your high rating and warm review. We are glad you enjoyed our delicious and varied meals, attentive service, activities, evening programs, and proximity to the sea.

We look forward to welcoming you back to Megasaray Hotels.

Sincerely,
Ayla Akbarova
Customer Relations Management
Megasaray Hotels",1 review,Ci9DQUlRQUNvZENodHljRjlvT2xwc05rWmFaMVZpWTBZMldWRnNTSE5UVlhKSU0zYxAB
Sporto Man,5.0,"A superb Italian a la carte restaurant. Yerkan, the staff member, is the most courteous, friendly, and helpful restaurant employee. Everything was delicious, and the presentation was beautiful. Thank you, Megasaray!!!!",3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for your high rating and warm review. We are glad you were satisfied with the à la carte restaurant, the quality of the food, and the level of service. Your kind words are valuable feedback to us.

We look forward to welcoming you back to Megasaray Hotels.

Sincerely,
Ayla Akbarova
Customer Relations Management
Megasaray Hotels",3 reviews,Ci9DQUlRQUNvZENodHljRjlvT2pSU1dtVkdZemRRVXpkUVowaHJabFZJZUhSVmVrRRAB
Елизавета Струкова,5.0,"July 2026.

The room is comfortable and has everything you need (air conditioning, minibar). It's always clean, and the room is cleaned daily. The hotel offers a variety of activities, from sports games and fitness to discos and live music. A market, shopping pavilions, and parks are within walking distance. The food is always delicious, with a wide variety to suit every taste.",3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for your high rating and warm review. We are glad you were satisfied with the comfort of your room, cleanliness, variety of food options, and opportunities for active recreation and entertainment at our hotel.

We look forward to welcoming you back to Megasaray Hotels.

Sincerely,
Ayla Akbarova
Customer Relations Management
Megasaray Hotels",1 review,Ci9DQUlRQUNvZENodHljRjlvT2xCcFZWaHlUamx1VFdGTWRpMXNiamRmWkdobmEzYxAB
Елена Хвостенко,5.0,"We stayed in July 2026. Gorgeous green grounds, excellent food selection (meat, fish, desserts), and friendly staff. Beachfront location. The room is cleaned daily, and the minibar is replenished free of charge every day. Staying at Megasarai is a pleasure. We'll definitely be back. The hotel has Starbucks.",3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for your high rating and warm review. We are glad you enjoyed our hotel's greenery, the variety of dishes, the cleanliness and comfort of the room, and the quality of services provided.

We look forward to welcoming you back to Megasaray Hotels.

Sincerely,
Ayla Akbarova
Customer Relations Management
Megasaray Hotels",1 review,Ci9DQUlRQUNvZENodHljRjlvT2t0YU5EZDFjV3RZWkhZMFRXTkZOR2hPVGpCR2FYYxAB
Nese,5.0,"It was a wonderful hotel. I loved the food. The rooms were cleaned daily. I never had any problems with sun loungers or towels. The pool was clean. The staff were very friendly. I would like to especially thank Mr. Kenan at the A la Carte restaurant, Mr. Ali İlgen and Ms. Victoria at the reception for their attention. They were very helpful in every way. I will definitely come again. I recommend it. The only negative point is that the sea gets dirty in the afternoon.",3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for your valuable comment and kind feedback. We are pleased that you were satisfied with our hotel, our gastronomic experience, our cleanliness standards, and the services we offer. Your valuable feedback regarding our sea will be shared with our relevant departments.

We would be delighted to welcome you and your family again.

Sincerely,
Ayla Akbarova
Customer Relations Management
Megasaray Hotels",2 reviews · 3 photos,Ci9DQUlRQUNvZENodHljRjlvT2t4bVpWOVJZV3M0YVhkS1VUVlhaSHAyVDJSTmRuYxAB
Александр Пушкин,5.0,"Excellent hotel, great entertainment, Amirhan the best entertainer. If you want to play darts, even if you don't know how, go for it, the staff is 100%. The food is delicious, no complaints whatsoever. Love Antalia.",3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for your review. We are glad you enjoyed the entertainment program, delicious cuisine, and atmosphere of our hotel. We are especially pleased to learn that participating in the darts game made your stay even more vibrant and memorable.

We look forward to welcoming you back to our hotel!

Sincerely,
Ayla Akbarova
Customer Relations Management
Megasaray Hotels",1 review,Ci9DQUlRQUNvZENodHljRjlvT2xoQk9EbEROVGR6VlRWdmFHWkRiSFJYVWpkNWNGRRAB
Татьяна Антонова,5.0,"Excellent hotel, excellent animation, superb live music. I really enjoyed playing darts. Thanks to Emirkhan and Megasaray for a wonderful vacation!",3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for your review. We are glad you enjoyed the entertainment program, live music, and atmosphere of our hotel. It's wonderful to know that your stay left such a positive impression.

We look forward to welcoming you back to our hotel!

Sincerely,
Ayla Akbarova
Customer Relations Management
Megasaray Hotels",1 review,Ci9DQUlRQUNvZENodHljRjlvT2sxR00zcEpOa0Y0WlZnelZFaHFVMjh0Y21FM1lsRRAB
Selin Kocabaş,4.0,"This was our second visit to the hotel, and we chose it for its location and food, but this year we weren't as satisfied as last year in terms of food variety, hygiene, and staff attentiveness. There's been a decline in quality and service. However, we met Ms. Railka in the restaurant on our last day, our last evening. She's a wonderful, friendly, and kind lady who does her job very well. We thank her very much.",3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for your kind review and high rating.

We are delighted that you have chosen our hotel again. We are sorry to learn that we were unable to fully meet your expectations regarding some of our services during your stay. Your valuable feedback will be shared with our relevant departments as part of our continuous efforts to improve the quality of our services.

Thank you also for your kind comments about our team. Your feedback will be shared with our colleagues with pleasure.

We look forward to welcoming you back to Megasaray Hotels.

Sincerely,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",9 reviews,Ci9DQUlRQUNvZENodHljRjlvT2pscWRXUXhhRXRQU2psdE9HdzVkelE0V20wNFVXYxAB
Nikola Kurek,5.0,"I highly recommend it! The service was exceptionally friendly and the food was delicious. It was a wonderful time and I'll cherish the memories for a lifetime. The activities were truly encouraging, the team was fantastic, and the people were truly wonderful. Thank you to all the staff who made this vacation everything I dreamed of. I would definitely recommend it to everyone with all my heart!",3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for your wonderful review and excellent rating.

We are delighted to hear that you enjoyed our friendly service, delicious food, and entertaining animation program. Knowing that your holiday created unforgettable memories and exceeded your expectations is the greatest reward for our team. Your kind recommendation means a lot to us and motivates us to continue delivering exceptional experiences.

We look forward to welcoming you back to Megasaray Hotels for another memorable stay.

Kind regards,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",1 review,Ci9DQUlRQUNvZENodHljRjlvT25Kak5qaHBhVjlKVldzd2VtMHdjME5qT0hwR2EyYxAB
Ekin Bağaç,5.0,"The hotel is in an absolutely fantastic location, the on-site activities are excellent, and I especially want to thank the animation team. Their approach to guests is wonderful, the evening shows are great, the food is delicious, and the snacks include burgers, baked potatoes, and dessert. The hotel is always lively, with active sports activities, and I definitely recommend it. Wishing everyone a great holiday! 🙏👍👍",3 weeks ago,2026-07-14,,"Dear Guest,

Thank you for your kind review and high rating.

We are very pleased that you were satisfied with our location, animation team, activities, and gastronomic experience. We will gladly share your kind words about our animation team with our colleagues.

Thank you for your valuable recommendation, and we would be delighted to welcome you back to Megasaray Hotels.

Sincerely,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",Local Guide · 11 reviews · 6 photos,Ci9DQUlRQUNvZENodHljRjlvT2xrdFQydzRabnBaWXpkVGRIcFRTbE01VWt4SWJWRRAB
